,Classifier,Sum_CV,ACC,AUC,MCC
1,ET,2.0857,0.82,0.903,0.651
2,RF,2.1547,0.8,0.886,0.612
3,XGB,2.1702,0.798,0.89,0.607
4,MLP,2.3005,0.761,0.837,0.534
5,LR,2.303,0.786,0.88,0.584
6,GNB,2.3453,0.768,0.872,0.547
7,SVM,2.377,0.762,0.844,0.535
8,LDA,2.6699,0.765,0.835,0.542
9,DT,2.809,0.697,0.697,0.404
10,KNN,2.9861,0.732,0.809,0.508
