total_time,air_time,paper_time,mean_speed_on_paper,mean_speed_in_air,mean_acc_on_paper,mean_acc_in_air,mean_jerk_on_paper,mean_jerk_in_air,pressure_mean,pressure_var,gmrt_on_paper,gmrt_in_air,mean_gmrt,num_of_pendown,max_x_extension,max_y_extension,disp_index,file
15.016099214553833,0.04339861869812012,14.972700595855713,186.62227280681932,0.0,0.043138918172004374,0.0,-0.3104086024529458,0.0,0,0,0.8576835449095066,0.0,0.4288417724547533,0,194,201,26.065508021390375,raw_user09_task1.csv
10.984089136123657,0.2303595542907697,10.753729581832888,223.99829748137802,0.0,0.0374915524185568,0.0,-0.9691646469141421,0.0,0,0,0.5824887601433805,0.0,0.29124438007169023,3,273,105,45.0,raw_user09_task2.csv
31.756694555282593,1.124170780181883,30.632523775100708,129.58261593819554,0.0,0.013829455591929838,0.0,-0.24661063228809996,0.0,0,0,0.6786208542070076,0.0,0.3393104271035038,10,504,69,27.798561151079138,raw_user09_task3.csv
12.152985334396362,0.16095924377441406,11.992026090621948,176.12755684869762,0.0,0.2183737321429735,0.0,-0.5321590857676931,0.0,0,0,0.8752855969740762,0.0,0.4376427984870381,1,329,50,24.191176470588236,raw_user09_task4.csv
81.14705419540405,3.3718390464782857,77.77521514892577,116.65722231562872,0.0,0.061572526508131505,0.0,-0.1602302917171719,0.0,0,0,0.834205990288828,0.0,0.417102995144414,36,168,158,24.21897810218978,raw_user09_task5.csv
16.493467807769775,0.02305006980895996,16.470417737960815,123.33879813939302,0.0,0.005780736054549715,0.0,-0.37785629730386816,0.0,0,0,0.780671534890154,0.0,0.390335767445077,0,121,123,18.88705583756345,raw_user12_task1.csv
29.76599097251892,1.3005669116973966,28.465424060821526,117.76583897933156,0.0,0.1518073565074205,0.0,-0.3167203010212576,0.0,0,0,1.0197246227108148,0.0,0.5098623113554074,3,144,96,30.926174496644297,raw_user12_task2.csv
48.26019525527954,2.108236551284797,46.151958703994744,136.9483962244882,0.0,0.04441247287197429,0.0,-0.05070059808386429,0.0,0,0,0.8706038044476214,0.0,0.4353019022238107,13,463,42,19.215415019762847,raw_user12_task3.csv
89.73984885215756,6.712646961212121,83.02720189094545,135.08684469617427,0.0,0.035261663719797706,0.0,-0.04543262271908224,0.0,0,0,0.7816917112618805,0.0,0.39084585563094026,28,455,235,49.96495327102804,raw_user12_task4.csv
179.50281500816345,12.249939203262475,167.25287580490098,112.55461736202432,0.0,0.004949116271457903,0.0,-0.14291685131622667,0.0,0,0,0.8827712630957282,0.0,0.4413856315478641,45,306,344,36.70292887029289,raw_user12_task5.csv
16.490429401397705,0.11614370346070046,16.374285697937005,123.91268001126294,0.0,0.05558633726100235,0.0,-0.24978491218260998,0.0,0,0,0.6118109099274065,0.0,0.30590545496370325,0,162,150,20.032976092333058,raw_user136_task1.csv
15.36849141120911,0.7845511436462456,14.583940267562864,138.65990960387268,0.0,0.053703108316538704,0.0,-0.20425968484974757,0.0,0,0,0.6683311005875139,0.0,0.33416555029375694,3,190,96,30.45075125208681,raw_user136_task2.csv
83.91584849357605,3.194987535476674,80.72086095809938,93.45905079463209,0.0,0.03575724099287501,0.0,0.02027168251416539,0.0,0,0,0.858212164898648,0.0,0.429106082449324,20,490,130,48.58886346300534,raw_user136_task3.csv
17.8868887424469,0.2516727447509748,17.635215997695926,128.35678571265044,0.0,0.032701782243142644,0.0,-0.1441992771700987,0.0,0,0,0.6835900141823932,0.0,0.3417950070911966,1,211,61,13.94474539544962,raw_user136_task4.csv
120.29650115966797,6.749517202377305,113.54698395729066,124.87564731441908,0.0,0.011963296314839446,0.0,-0.19291324693877474,0.0,0,0,0.9398659507181731,0.0,0.46993297535908657,40,262,223,35.88820638820639,raw_user136_task5.csv
32.11329174041748,0.25127315521240234,31.862018585205078,139.89770706976068,0.0,0.009701525558688593,0.0,-0.00412968119320004,0.0,0,0,0.6888276394811396,0.0,0.3444138197405698,1,151,168,14.545871559633028,raw_user16_task1.csv
18.947901725769043,0.6391582489013636,18.30874347686768,138.92686549291622,0.0,0.04329599692756101,0.0,-0.15931598376221603,0.0,0,0,1.0363419194521954,0.0,0.5181709597260977,3,178,83,27.512104283054004,raw_user16_task2.csv
21.046644687652588,0.25945425033569336,20.787190437316895,105.39843652813994,0.0,0.06800885155388195,0.0,-0.0619020542412631,0.0,0,0,0.8041904021436578,0.0,0.4020952010718289,1,194,32,9.363499245852188,raw_user16_task3.csv
73.16119623184204,3.1223034858703613,70.03889274597168,93.57171942754262,0.0,0.04463395775101209,0.0,0.003313938807565545,0.0,0,0,1.0198501081996505,0.0,0.5099250540998252,13,521,107,38.902302861130494,raw_user16_task4.csv
111.5204224586487,7.777977705001856,103.74244475364684,79.13683683661345,0.0,0.011063942628948917,0.0,-0.013924691921367447,0.0,0,0,1.1487561502828445,0.0,0.5743780751414223,41,140,145,16.87448046550291,raw_user16_task5.csv
33.21315670013428,0.31182527542114613,32.901331424713135,135.96138601636613,0.0,0.03956099234225862,0.0,-0.0005864724669591286,0.0,0,0,0.5774315088227383,0.0,0.28871575441136915,1,159,155,13.684064408661854,raw_user19_task1.csv
65.77722072601318,3.82979106903079,61.94742965698239,126.947962922529,0.0,0.010572615220233606,0.0,-0.04557019475441073,0.0,0,0,0.709917074438353,0.0,0.3549585372191765,18,470,175,44.896288209606986,raw_user19_task2.csv
19.489119052886963,0.508388757705692,18.98073029518127,199.85931728666782,0.0,-0.06862717017383548,0.0,-0.008495593431281534,0.0,0,0,0.7126587094354775,0.0,0.35632935471773874,4,313,197,76.12469135802469,raw_user19_task3.csv
22.548470973968513,0.8679988384246844,21.680472135543827,151.04790898600737,0.0,0.08023404682938227,0.0,-0.08270981181832839,0.0,0,0,0.6648340989050836,0.0,0.3324170494525418,3,215,37,10.358072916666666,raw_user19_task4.csv
100.97362852096555,6.306006908416695,94.66762161254886,128.90893770341592,0.0,0.02147136727819913,0.0,0.0293276947394161,0.0,0,0,0.7218366006384195,0.0,0.36091830031920974,39,159,152,20.22426778242678,raw_user19_task5.csv
13.883468151092515,0.18711090087889204,13.696357250213623,173.68806616969763,0.0,0.01679659961188387,0.0,-0.1199257656156237,0.0,0,0,0.679227686997024,0.0,0.339613843498512,1,168,188,26.56349873843566,raw_user30_task1.csv
8.401806116104126,0.5754938125610316,7.826312303543094,234.58977143929215,0.0,0.12172907601547953,0.0,-0.8367269552725605,0.0,0,0,0.6442476506097705,0.0,0.32212382530488526,3,141,62,28.29126213592233,raw_user30_task2.csv
23.387195110321038,0.33056068420409623,23.056634426116943,90.13200809490728,0.0,0.02882417735176806,0.0,-0.2831724316312275,0.0,0,0,0.7900453666870788,0.0,0.3950226833435394,3,156,39,9.274390243902438,raw_user30_task3.csv
57.996978998184204,1.416538953781128,56.580440044403076,89.38973921678,0.0,0.008255228719613145,0.0,-0.19735399458728756,0.0,0,0,0.808285393171339,0.0,0.4041426965856695,17,478,79,27.343953656770456,raw_user30_task4.csv
110.03792023658754,5.670921802520734,104.3669984340668,162.3585991961844,0.0,0.21595719943625827,0.0,-0.22505396343039988,0.0,0,0,1.0175724307469092,0.0,0.5087862153734546,34,216,215,33.21888412017167,raw_user30_task5.csv
