Methods/Approaches,ACC,Sn,Sp,Pre,TPR,FPR,F1,MCC,Kappa,AUC
RF + ET,97.14,100.0,94.12,94.74,100.0,5.88,97.3,94.43,94.27,99.02
RF + ET + XGB,94.29,94.44,94.12,94.44,94.44,5.88,94.44,88.56,88.56,98.69
RF + ET + XGB + MLP,97.14,100.0,94.12,94.74,100.0,5.88,97.3,94.43,94.27,98.37
RF + ET + XGB + MLP + SVM,97.14,100.0,94.12,94.74,100.0,5.88,97.3,94.43,94.27,98.04
RF + ET + XGB + MLP + SVM + GNB,97.14,100.0,94.12,94.74,100.0,5.88,97.3,94.43,94.27,99.35
Majority Voting (all 7),97.14,100.0,94.12,94.74,100.0,5.88,97.3,94.43,94.27,99.02
